"YYYY","MM","DD","ATMP","WTMP"
"7453",2000,12,26,21.7,23.3
"7477",2000,12,27,22,24.1
"7501",2000,12,28,23.4,24.2
"7525",2000,12,29,18.8,23.9
"7549",2000,12,30,12.2,23.6
"7573",2000,12,31,10.9,22.9
"142",2001,1,1,9.7,22.7
"382",2001,1,2,15.5,21.7
"622",2001,1,3,13.3,21.3
"862",2001,1,4,12.4,22.7
"1102",2001,1,5,9.1,21.5
"1342",2001,1,6,18,22.5
"1582",2001,1,7,15.6,22.3
"1822",2001,1,8,22.1,22.7
"2062",2001,1,9,19.2,22.8
"2302",2001,1,10,8.7,21.7
"2542",2001,1,11,19.6,22.2
"2782",2001,1,12,19.9,22.4
"3022",2001,1,13,11.6,21.8
"3262",2001,1,14,15,22.2
"3502",2001,1,15,18.4,22.4
"3742",2001,1,16,22.5,22.3
"3982",2001,1,17,23.1,23.5
"4222",2001,1,18,23.3,23.4
"4462",2001,1,19,23.8,23.4
"4702",2001,1,20,24.2,23.4
"4942",2001,1,21,9.6,22.2
"5182",2001,1,22,11.5,21.8
"5422",2001,1,23,10.8,21.1
"5662",2001,1,24,12,20.6
"5902",2001,1,25,12.5,20.9
"6142",2001,1,26,12.9,20.5
"6382",2001,1,27,18.8,21.2
"6622",2001,1,28,19.8,21
"6862",2001,1,29,21.2,21.2
"7102",2001,1,30,22.5,21.2
"7342",2001,1,31,22.4,21.7
"7582",2001,2,1,23,21.7
"7822",2001,2,2,23.2,22.3
"8062",2001,2,3,19.6,22.5
"8302",2001,2,4,23.9,22.5
"8542",2001,2,5,18.9,22.6
"8782",2001,2,6,17.7,22.4
"9022",2001,2,7,22.6,22.4
"9262",2001,2,8,22.8,22.7
"9502",2001,2,9,23.2,23.6
"9742",2001,2,10,24.2,23.9
"9982",2001,2,11,24.3,24
"1052",2001,3,11,21.9,22.3
"1100",2001,3,13,24.3,23
"1124",2001,3,14,24.6,24
"1172",2001,3,16,25.1,23.9
"1196",2001,3,17,25,24.5
"1220",2001,3,18,25.4,24.8
"1316",2001,3,22,16.2,22.1
"1340",2001,3,23,16.4,22.3
"1364",2001,3,24,22.2,22.6
"1388",2001,3,25,21.2,22.7
"1412",2001,3,26,21.3,22.8
"1436",2001,3,27,20.7,23.4
"1460",2001,3,28,23.8,23.5
"1484",2001,3,29,25.1,23.8
"1532",2001,3,31,25,23.8
"1556",2001,4,1,22.6,24.3
"1580",2001,4,2,20.3,23.7
"1604",2001,4,3,23,23.9
"1628",2001,4,4,23.9,24.3
"1652",2001,4,5,24,24.3
"1676",2001,4,6,24,24.5
"1700",2001,4,7,24.2,24.5
"1724",2001,4,8,24.1,24.6
"1748",2001,4,9,24.2,24.6
"1772",2001,4,10,24.8,25.3
"1796",2001,4,11,25.1,25
"1820",2001,4,12,25.6,25.1
"1844",2001,4,13,25.9,25.8
"1868",2001,4,14,25.7,26
"1892",2001,4,15,26.3,26
"1916",2001,4,16,24.9,26.5
"1940",2001,4,17,21.8,25.3
"1964",2001,4,18,18.8,24.7
"1988",2001,4,19,21,25.1
"2012",2001,4,20,22.5,24.9
"2036",2001,4,21,23.4,24.9
"2060",2001,4,22,24.4,25
"2084",2001,4,23,24.2,25.1
"2108",2001,4,24,24.4,25.1
"2132",2001,4,25,25,25
"2156",2001,4,26,23.3,25.4
"2180",2001,4,27,23.6,25.4
"2204",2001,4,28,23.7,25.1
"2228",2001,4,29,24,25.1
